title,url,date,date_parsed,event_type,score,reasons
"Prime Minister Naftali Bennett Holds Assessment at IDF Efraim Regional Brigade HQ, in Judea and Samaria",https://www.gov.il/en/pages/event_assessment170522,2022-05-17,2022-05-17,no_netanyahu,-100,no Netanyahu mention
PM Bennett's Remarks at the Start of the Weekly Cabinet Meeting,https://www.gov.il/en/pages/spoke_start150522,2022-05-15,2022-05-15,no_netanyahu,-100,no Netanyahu mention
PM Bennett on the Late Lt.-Col. Mahmoud Kheir el-Din,https://www.gov.il/en/pages/spoke_operation150522,2022-05-15,2022-05-15,no_netanyahu,-100,no Netanyahu mention
"PM Bennett on the Passing of His Highness Sheikh Khalifa bin Zayed Al Nahyan, President of the UAE",https://www.gov.il/en/pages/spoke_sheikh_khalifa130522,2022-05-13,2022-05-13,no_netanyahu,-100,no Netanyahu mention
PM Bennett on the death of Israel National Counter-Terrorism Unit Sergeant Major Noam Raz during an operation in Jenin,https://www.gov.il/en/pages/spoke_noam130522,2022-05-13,2022-05-13,no_netanyahu,-100,no Netanyahu mention
PM Bennett Convenes Discussion on Establishing the National Civil Guard,https://www.gov.il/en/pages/spoke_discussion120522,2022-05-12,2022-05-12,no_netanyahu,-100,no Netanyahu mention
Prime Minister Naftali Bennett Meets with Ecuadoran President Guillermo Lasso,https://www.gov.il/en/pages/event_lasso120522,2022-05-12,2022-05-12,no_netanyahu,-100,no Netanyahu mention
Knesset Statement by PM Bennett regarding the Death of Al-Jazeera Journalist Shireen Abu Akleh,https://www.gov.il/en/pages/spoke_knesset110522,2022-05-11,2022-05-11,no_netanyahu,-100,no Netanyahu mention
Statement from PM Naftali Bennett following the Sad Death of Al-Jazeera journalist Shireen Abu-Aqla,https://www.gov.il/en/pages/spoke_response110522,2022-05-11,2022-05-11,no_netanyahu,-100,no Netanyahu mention
"PM Bennett and Defense Minister Benny Gantz Participate in IDF ""Chariots of Fire"" Exercise",https://www.gov.il/en/pages/event_idf100522,2022-05-10,2022-05-10,no_netanyahu,-100,no Netanyahu mention
